"Mrr.Report.Calculated.At.Date","Mrr.Report.Total.Mrr"
"2017-04-24",1182395.6038
"2017-04-23",1183239.2804
"2017-04-22",1184275.7137
"2017-04-21",1182985.8404
"2017-04-20",1182849.3372
"2017-04-19",1181531.9108
"2017-04-18",1180268.2509
"2017-04-17",1179027.701
"2017-04-16",1180986.3276
"2017-04-15",1181408.031
"2017-04-14",1181786.7176
"2017-04-13",1180717.0443
"2017-04-12",1178168.0844
"2017-04-11",1177509.3445
"2017-04-10",1176187.1678
"2017-04-09",1177206.0212
"2017-04-08",1177915.2878
"2017-04-07",1176515.4778
"2017-04-06",1175526.4779
"2017-04-05",1173615.0247
"2017-04-04",1170352.3218
"2017-04-03",1167736.4386
"2017-04-02",1169385.8986
"2017-04-01",1168973.1453
"2017-03-31",1167861.0287
"2017-03-30",1165011.252
"2017-03-29",1163700.2788
"2017-03-28",1161584.5724
"2017-03-27",1158730.1126
"2017-03-26",1159800.616
"2017-03-25",1159998.5426
"2017-03-24",1157643.9431
"2017-03-23",1154313.2931
"2017-03-22",1151370.7068
"2017-03-21",1151164.1804
"2017-03-20",1148702.9238
"2017-03-19",1148584.3838
"2017-03-18",1149266.9772
"2017-03-17",1148519.6539
"2017-03-16",1147581.0239
"2017-03-15",1145559.5975
"2017-03-14",1143790.191
"2017-03-13",1141808.201
"2017-03-12",1141645.8411
"2017-03-11",1140757.5745
"2017-03-10",1138609.6714
"2017-03-09",1135655.8617
"2017-03-08",1131308.3119
"2017-03-07",1130108.9652
"2017-03-06",1129006.1921
"2017-03-05",1128653.3921
"2017-03-04",1128991.4587
"2017-03-03",1127175.4289
"2017-03-02",1124614.8258
"2017-03-01",1122518.976
"2017-02-28",1128252.7262
"2017-02-27",1126315.6698
"2017-02-26",1127140.9798
"2017-02-25",1127571.5298
"2017-02-24",1126487.6266
"2017-02-23",1125059.54
"2017-02-22",1123683.1702
"2017-02-21",1122252.707
"2017-02-20",1119570.5505
"2017-02-19",1119453.5639
"2017-02-18",1120380.2139
"2017-02-17",1119659.8142
"2017-02-16",1118484.8843
"2017-02-15",1117791.3213
"2017-02-14",1115051.2749
"2017-02-13",1112631.0819
"2017-02-12",1113572.7584
"2017-02-11",1114368.755
"2017-02-10",1113749.3315
"2017-02-09",1112907.1382
"2017-02-08",1111315.2952
"2017-02-07",1109040.4487
"2017-02-06",1106252.3787
"2017-02-05",1106432.6288
"2017-02-04",1107638.4489
"2017-02-03",1105676.0159
"2017-02-02",1102243.6727
"2017-02-01",1101016.1896
"2017-01-31",1098593.4731
"2017-01-30",1096126.0267
"2017-01-29",1096360.5969
"2017-01-28",1097759.7169
"2017-01-27",1096673.8537
"2017-01-26",1097965.3238
"2017-01-25",1095561.3706
"2017-01-24",1091965.1608
"2017-01-23",1089041.611
"2017-01-22",1089369.691
"2017-01-21",1089865.1476
"2017-01-20",1089478.791
"2017-01-19",1088254.5578
"2017-01-18",1086229.8983
"2017-01-17",1082804.145
"2017-01-16",1081929.9019
"2017-01-15",1081041.0085
"2017-01-14",1082778.5718
"2017-01-13",1081088.2455
"2017-01-12",1080331.899
"2017-01-11",1078325.7394
"2017-01-10",1076733.043
"2017-01-09",1075784.2396
"2017-01-08",1076995.6564
"2017-01-07",1078216.47
"2017-01-06",1078030.857
"2017-01-05",1076562.6737
"2017-01-04",1074271.5341
"2017-01-03",1072466.6278
"2017-01-02",1071272.5546
"2017-01-01",1071887.968
"2016-12-31",1071495.4247
"2016-12-30",1071866.8615
"2016-12-29",1070586.5116
"2016-12-28",1071344.5617
"2016-12-27",1070918.2085
"2016-12-26",1071029.7155
"2016-12-25",1072219.2255
"2016-12-24",1072766.3455
"2016-12-23",1073233.9789
"2016-12-22",1072786.1459
"2016-12-21",1072134.5961
"2016-12-20",1068808.6232
"2016-12-19",1066527.1501
"2016-12-18",1066832.5235
"2016-12-17",1067838.4001
"2016-12-16",1067254.7169
"2016-12-15",1065658.567
"2016-12-14",1064390.224
"2016-12-13",1063498.4107
"2016-12-12",1061450.2209
"2016-12-11",1062554.6709
"2016-12-10",1063606.9609
"2016-12-09",1063682.7109
"2016-12-08",1061662.9611
"2016-12-07",1059235.0314
"2016-12-06",1056891.7714
"2016-12-05",1053741.5981
"2016-12-04",1055627.9981
"2016-12-03",1055992.1681
"2016-12-02",1054985.2482
"2016-12-01",1052957.632
"2016-11-30",1053320.8256
"2016-11-29",1052618.0626
"2016-11-28",1049878.2194
"2016-11-27",1050947.0594
"2016-11-26",1052020.2494
"2016-11-25",1051795.6762
"2016-11-24",1052064.0463
"2016-11-23",1051188.5266
"2016-11-22",1050617.4767
"2016-11-21",1048405.6768
"2016-11-20",1049194.6902
"2016-11-19",1049936.437
"2016-11-18",1048614.4439
"2016-11-17",1047370.7974
"2016-11-16",1045316.5776
"2016-11-15",1042717.388
"2016-11-14",1041121.3048
"2016-11-13",1041891.0248
"2016-11-12",1042748.6782
"2016-11-11",1041995.4117
"2016-11-10",1043568.0051
"2016-11-09",1042118.7351
"2016-11-08",1041056.1652
"2016-11-07",1039540.9852
"2016-11-06",1039342.5252
"2016-11-05",1039735.9552
"2016-11-04",1038639.7421
"2016-11-03",1037619.5155
"2016-11-02",1036333.8193
"2016-11-01",1035606.3629
"2016-10-31",1033754.2262
"2016-10-30",1034338.0696
"2016-10-29",1034662.5796
"2016-10-28",1032422.36
"2016-10-27",1030520.3701
